UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
MT;Cáceres;26/11/2024;MT-F-5102504-14110-20241125;14110 - Estiagem;Registro;87912;0;0;0;0;0;0;52900;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;MAIS DE 20%;MAIS DE 20%;MAIS DE 20%;MAIS DE 20%;;500000.0;2500000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1500000.0;2000000.0;1400000.0;0.0;0.0;0.0
MS;Mundo Novo;26/11/2024;MS-F-5005681-14131-20241117;14131 - Incêndio Florestal - Incêndios em Parques, Áreas de Proteção Ambiental e Áreas de Preservação Permanente Nacionais, Estaduais ou Municipais;Registro;17035;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Corumbá;18/10/2024;MS-F-5003207-14120-20241018;14120 - Seca;Registro;103772;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;MAIS DE 20%;MAIS DE 20%;MAIS DE 20%;MAIS DE 20%;MAIS DE 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Coronel Sapucaia;15/10/2024;MS-F-5003157-14110-20241015;14110 - Estiagem;Registro;14064;0;0;0;0;0;0;566;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;DE 10% A 20%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Corumbá;15/10/2024;MS-F-5003207-14110-20241014;14110 - Estiagem;Registro;103772;0;0;0;0;0;0;19000;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;MAIS DE 20%;MAIS DE 20%;MAIS DE 20%;MAIS DE 20%;MAIS DE 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Coronel Sapucaia;21/10/2024;MS-F-5003157-14120-20241014;14120 - Seca;Registro;14064;0;0;0;0;0;0;566;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;DE 10% A 20%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Nova Andradina;21/10/2024;MS-F-5006200-14120-20241014;14120 - Seca;Registro;45599;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;DE 5% A 10%;DE 5% A 10%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Coronel Sapucaia;09/10/2024;MS-F-5003157-14110-20241009;14110 - Estiagem;Registro;14064;0;0;0;0;0;0;566;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;DE 10% A 20%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Mundo Novo;09/10/2024;MS-F-5005681-14131-20241007;14131 - Incêndio Florestal - Incêndios em Parques, Áreas de Proteção Ambiental e Áreas de Preservação Permanente Nacionais, Estaduais ou Municipais;Registro;17035;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;0.0
MS;Campo Grande;07/10/2024;MS-F-5002704-14132-20241007;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;787204;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Campo Grande;07/10/2024;MS-F-5002704-14132-20241006;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;787204;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Campo Grande;01/10/2024;MS-F-5002704-14132-20240930;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;787204;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Campo Grande;30/09/2024;MS-F-5002704-14132-20240928;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;787204;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Vila Bela da Santíssima Trindade;23/09/2024;MT-F-5105507-14110-20240919;14110 - Estiagem;Reconhecido;14491;0;0;0;0;0;0;16774;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;MAIS DE 20%;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Campo Grande;18/09/2024;MS-F-5002704-14132-20240917;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;787204;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MS;Campo Grande;16/09/2024;MS-F-5002704-14132-20240915;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;787204;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Confresa;25/09/2024;MT-F-5103353-14132-20240914;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;25127;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
