N;UF;Código IBGE;Município;Nº do Decreto;Data do Decreto;Desastre;SE/ECP;Nº da Portaria;Data da Portaria;Nº do D.O.U.;Data do D.O.U.;Rito;Processo
1;MT;5103700;Feliz Natal;020/2024;25/04/2024;ESTIAGEM;SE;2101;13/06/2024;113;14/06/2024;ORDINÁRIO;59051.034327/2024-16
2;MS;5001102;Aquidauana;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
3;MS;5002159;Bodoquena;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
4;MS;5002209;Bonito;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
5;MS;5003207;Corumbá;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
6;MS;5003306;Coxim;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
7;MS;5003454;Deodápolis;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
8;MS;5003504;Douradina;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
9;MS;5003702;Dourados;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM PARQUES, ÁREAS DE PROTEÇÃO AMBIENTAL E ÁREAS DE PRESERVAÇÃO PERMANENTE NACIONAIS, ESTADUAIS OU MUNICIPAIS;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
10;MS;5005707;Naviraí;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM PARQUES, ÁREAS DE PROTEÇÃO AMBIENTAL E ÁREAS DE PRESERVAÇÃO PERMANENTE NACIONAIS, ESTADUAIS OU MUNICIPAIS;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
11;MS;5005806;Nioaque;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
12;MS;5006903;Porto Murtinho;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
13;MS;5007901;Sidrolândia;"Decreto ""E"" nº 53";24/06/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;2251;26/06/2024;122;27/06/2024;ORDINÁRIO;59051.035287/2024-11
14;MT;5101605;Barão de Melgaço;48;12/06/2024;SECA;SE;2607;24/07/2024;142;25/07/2024;ORDINÁRIO;59051.036387/2024-65
