Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoSecao: 1 = Régua, 2 = Medição

Restrições da consulta:
Código da Estação:66750000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumLevantamento;TipoSecao;NumVerticais;DistanciaPIPF;EixoXDistMaxima;EixoXDistMinima;EixoYCotaMaxima;EixoYCotaMinima;ElmGeomPassoCota;Observacoes;Vertical
66750000;1;25/06/2022;;;2;33;"200,75";;;;;"10,0";;",495|2,5,508|5,509|8,541|11,2,555|12,2,529|13,7,522|15,2,481|16,5,476|16,9,415|75,9,2|87,9,-22|99,9,5|111,9,11|123,9,6|135,9,-36|147,9,-50|159,9,-41|171,9,-62|183,9,-63|189,35,415|189,35,-33|191,45,512|192,15,563|193,25,594|196,25,569|196,75,550|200,75,548|19,9,179|29,9,72|39,9,75|51,9,23|63,9,48|"
66750000;1;09/08/2019;;;2;26;"181,2";;;;;"10,0";;",500|9,8,550|13,3,503|15,3,450|17,5,403|27,5,12|38,5,15|48,5,23|58,5,42|71,5,30|83,5,-8|94,5,-67|104,5,-122|115,5,-81|125,5,-112|135,5,-89|145,5,-24|156,5,-99|166,5,-171|175,5,-210|183,5,-142|187,5,403|189,5,474|191,561|193,591|200,548|"
66750000;2;09/08/2019;01/01/1900 00:00;0;2;26;"200,0";"230,0";"30,0";"591,0";"-210,0";"1,0";"Aplicado deslocamento horizontal de 30 m,";"0,500|39,8,550|43,3,503|45,3,450|47,5,403|57,5,12|68,5,15|78,5,23|88,5,42|101,5,30|113,5,-8|124,5,-67|134,5,-122|145,5,-81|155,5,-112|165,5,-89|175,5,-24|186,5,-99|196,5,-171|205,5,-210|213,5,-142|217,5,403|219,5,474|221,561|223,591|230,548|"
66750000;2;11/08/2018;01/01/1900 00:00;0;2;36;"201,72";"232,72";"31,0";"567,0";"-155,0";"1,0";"Aplicado deslocamento horizontal de 31 m,";"1,506|36,516|41,547|44,545|45,5,506|47,467|48,419|48,6,403|54,6,144|62,66,13|70,6,1|78,68,68|86,61,37|95,14,-28|102,7,13|110,83,-10|118,9,-37|126,68,-58|134,7,-95|143,09,-155|150,7,-115|158,9,-53|166,69,-63|174,73,-113|182,85,-86|189,02,-81|197,-92|204,6,-88|212,73,-54|217,72,240|222,72,403|223,72,450|224,72,519|225,72,561|228,72,567|232,72,553|"
66750000;1;11/08/2018;;;2;36;"183,72";;;;;"10,0";;",506|5,516|10,547|13,545|14,5,506|16,467|17,519|17,6,403|23,6,144|31,66,13|39,6,1|47,68,68|55,61,37|64,14,-28|71,7,13|79,83,-10|87,9,-37|95,68,-58|103,7,-95|112,09,-155|119,7,-115|127,9,-53|135,69,-63|143,73,-113|151,85,-86|158,02,-81|166,-92|173,6,-88|181,73,-54|186,72,240|191,72,403|192,72,450|193,72,519|194,72,561|197,72,567|201,72,553|"
66750000;1;03/08/2017;;;2;34;"180,6";;;;;"10,0";;",506|5,521|10,553|12,532|13,510|14,478|15,445|16,395|19,323|28,55,16|38,29,32|48,28,67|58,1,70|68,23,62|78,6,44|89,08,17|98,84,-10|108,92,-36|118,32,-72|129,13,-129|139,43,-70|148,73,-55|159,26,-94|169,23,-80|179,49,-3|185,21,252|188,21,395|188,71,451|189,21,480|190,21,532|190,6,571|193,6,588|196,6,553|198,6,567|"
66750000;1;03/08/2017;;;2;34;"180,6";"0,0";"0,0";"0,0";"0,0";"10,0";;"98,6,567|196,6,553|193,6,588|190,6,571|190,21,532|189,21,480|188,71,451|188,21,395|185,21,252|179,49,-3|169,23,-80|159,26,-94|148,73,-55|139,43,-70|129,13,-129|118,32,-72|108,92,-36|98,84,-10|89,08,17|78,6,44|68,23,62|58,1,70|48,28,67|38,29,32|28,55,16|19,323|16,395|15,445|14,478|13,510|12,532|10,553|5,521|0,506|"
66750000;2;03/08/2017;01/01/1900 00:00;0;2;34;"198,6";"228,6";"30,0";"588,0";"-129,0";"1,0";"Aplicado deslocamento horizontal de 30 m,";"0,506|35,521|40,553|42,532|43,510|44,478|45,445|46,395|49,323|58,55,16|68,29,32|78,28,67|88,1,70|98,23,62|108,6,44|119,08,17|128,84,-10|138,92,-36|148,32,-72|159,13,-129|169,43,-70|178,73,-55|189,26,-94|199,23,-80|209,49,-3|215,21,252|218,21,395|218,71,451|219,21,480|220,21,532|220,6,571|223,6,588|226,6,553|228,6,567|"
66750000;2;15/09/2016;01/01/1900 00:00;0;2;39;"198,6";"231,6";"33,0";"665,0";"-144,0";"1,0";"Aplicado deslocamento horizontal de 33 m,";"3,549|38,531|43,499|45,481|46,5,453|47,5,431|48,5,410|49,5,374|52,5,217|60,3,4|68,85,24|76,51,44|84,96,-8|93,62,18|101,78,-37|108,8,-66|117,14,-66|125,2,13|133,25,14|141,08,-66|148,93,-68|157,21,-38|166,19,-25|174,76,-65|183,01,-61|189,72,-144|196,61,-126|202,-115|208,05,-72|210,8,-11|216,12,216|219,12,374|220,32,486|221,32,550|222,32,606|223,6,634|225,6,665|228,6,636|231,6,618|"
66750000;1;15/09/2016;;;2;39;"180,6";;;;;"10,0";;"8,78,-37|133,19,-25|141,76,-65|108,08,-66|51,96,-8|115,93,-68|124,21,-38|43,51,44|92,2,13|75,8,-66|60,62,18|84,14,-66|100,25,14|150,01,-61|188,32,550|163,61,-126|177,8,-11|169,-115|192,6,665|175,05,-72|183,12,216|189,32,606|186,12,374|156,72,-144|187,32,486|198,6,618|195,6,636|190,6,634|35,85,24|16,5,374|10,499|14,5,431|0,549|13,5,453|27,3,4|12,481|5,531|15,5,410|19,5,217|"
