Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:66750000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
66750000;1;01/11/2023;;1;1;"408,1564";"354,6309";"385,8987";7;30;1;1;1;"0,0";0;"372,0549";"375,5898";"379,1415";"397,1505";"398,9743";"400,8024";"408,1564";"404,4711";"400,8024";"400,8024";"398,9743";"398,9743";"397,1505";"395,3308";"395,3308";"393,5152";"395,3308";"389,8967";"388,0937";"386,2949";"384,5003";"382,7098";"379,1415";"377,3636";"372,0549";"368,5366";"363,2906";"359,8142";"358,0822";"354,6309";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66750000;1;01/10/2023;;1;1;"386,2949";"366,7838";"379,5054";11;30;2;2;2;"0,0";0;"382,7098";"380,9236";"379,1415";"380,9236";"380,9236";"382,7098";"382,7098";"382,7098";"384,5003";"384,5003";"386,2949";"386,2949";"386,2949";"384,5003";"384,5003";"382,7098";"382,7098";"380,9236";"380,9236";"380,9236";"379,1415";"379,1415";"377,3636";"375,5898";"373,8203";"373,8203";"372,0549";"370,2937";"368,5366";"366,7838";"370,2937";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
66750000;1;01/09/2023;;1;1;"408,1564";"384,5003";"393,7882";1;29;1;1;1;"0,0";0;"408,1564";"408,1564";"406,3117";"404,4711";"404,4711";"402,6346";"400,8024";"398,9743";"398,9743";"397,1505";"391,7039";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"389,8967";"388,0937";"386,2949";"384,5003";"384,5003";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66750000;1;01/08/2023;;1;1;"484,3671";"411,8585";"440,5617";2;31;1;1;1;"0,0";0;"465,4426";"484,3671";"463,4724";"461,5065";"461,5065";"461,5065";"459,5447";"457,5871";"457,5871";"455,6337";"453,6845";"445,9293";"444,001";"442,0768";"440,1569";"438,241";"432,5187";"430,6196";"430,6196";"430,6196";"430,6196";"430,6196";"426,834";"424,9474";"424,9474";"421,1868";"419,3128";"418,3774";"416,5096";"415,5773";"411,8585";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66750000;1;01/07/2023;;1;1;"592,2735";"477,3511";"537,5586";2;31;1;1;1;"0,0";0;"590,3306";"592,2735";"592,2735";"590,3306";"588,3921";"586,4582";"582,6036";"578,7669";"571,1465";"563,5967";"559,8482";"552,4036";"548,7074";"545,0286";"541,3671";"537,7228";"535,9072";"534,0958";"519,7591";"517,9861";"512,6928";"507,4374";"501,6193";"501,6193";"499,574";"497,5328";"489,41";"485,3736";"481,354";"481,354";"477,3511";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66750000;1;01/06/2023;;1;1;"812,5796";"602,0552";"671,0868";1;30;1;1;1;"0,0";0;"812,5796";"810,1546";"769,7007";"751,1625";"748,8674";"719,4771";"717,2503";"695,2475";"680,1299";"671,5955";"667,3565";"658,935";"656,8412";"654,7522";"653,7094";"652,6678";"650,5881";"648,513";"642,3156";"644,3768";"638,2071";"636,1598";"630,0454";"625,9921";"621,9572";"634,1171";"615,9389";"611,9495";"609,9616";"602,0552";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
66750000;1;01/05/2023;;1;1;"920,3555";"817,4449";"891,7035";1;31;2;2;2;"0,0";0;"920,3555";"920,3555";"920,3555";"920,3555";"920,3555";"920,3555";"911,1598";"911,1598";"911,1598";"911,1598";"911,1598";"906,5845";"906,5845";"906,5845";"902,0243";"902,0243";"902,0243";"892,9489";"890,3058";"890,3058";"885,1403";"882,5654";"877,4315";"874,8724";"872,3185";"862,1552";"862,1552";"857,1048";"847,0662";"827,2366";"817,4449";;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
66750000;1;01/04/2023;;1;1;"938,9285";"892,9489";"917,6542";14;1;2;2;2;"0,0";0;"892,9489";"892,9489";"892,9489";"897,4791";"897,4791";"902,0243";"902,0243";"906,5845";"911,1598";"918,0509";"922,6639";"924,976";"929,6117";"938,9285";"938,9285";"934,2625";"929,6117";"929,6117";"929,6117";"924,976";"924,976";"924,976";"920,3555";"920,3555";"920,3555";"920,3555";"920,3555";"920,3555";"920,3555";"920,3555";;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;0
66750000;1;01/03/2023;;1;1;"939,0629";"844,6342";"882,349";31;1;1;1;1;;0;"844,6342";"844,6342";"844,6342";"844,6342";"844,6342";"844,6342";"844,6342";"846,5332";"850,34";"852,2476";"863,7541";"867,6127";"871,4829";"875,3646";"875,3646";"879,2579";"879,2579";"883,1629";"883,1629";"891,0078";"898,8994";"902,8627";"910,8246";"914,8232";"918,8336";"918,8336";"922,8558";"930,9356";"930,9356";"932,963";"939,0629";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
66750000;1;01/02/2023;;1;1;"844,6342";"763,6606";"806,3896";28;1;1;1;1;;0;"763,6606";"765,9903";"769,4942";"780,0732";"782,4378";"784,8075";"787,1822";"791,9466";"799,1312";"801,5361";"801,5361";"803,9462";"806,3613";"806,3613";"806,3613";"808,7814";"811,2067";"816,0725";"818,3472";"818,3472";"822,0684";"822,0684";"825,8008";"829,5447";"833,2999";"837,0666";"840,8447";"844,6342";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
