Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:67100000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
67100000;1;09/04/2024;01/01/1900 10:30;118;09/04/2024;01/01/1900 08:02;118;189;"1066,743";"2960,623";"260,704";"0,36";"43,5";189;"31,4";;"65,37";
67100000;1;25/09/2023;01/01/1900 09:05;116;25/09/2023;01/01/1900 09:05;116;410;"2185,717";"3565,51";"274,713";"0,613";"37,9";410;"29,6";;"413,9";
67100000;1;05/02/2021;01/01/1900 10:30;110;05/02/2021;01/01/1900 08:36;110;300;"1416,005";"3275,042";"251,18";"0,432";"22,2";300;"29,8";;"516,2";
67100000;1;01/02/2020;01/01/1900 09:20;109;01/02/2020;01/01/1900 07:26;109;276;"1290,0";"3305,0";"255,04";"0,39";"52,3";276;"29,8";;"111,2";
67100000;1;15/11/2019;01/01/1900 08:50;108;15/11/2019;01/01/1900 07:38;108;223;"1090,452";"3173,13";"249,64";"0,344";"56,3";223;"29,4";;"71,6";
67100000;1;22/05/2019;01/01/1900 10:10;106;22/05/2019;01/01/1900 07:57;106;579;"2656,3";"4145,434";"283,37";"0,641";"32,5";579;"25,4";;"83,8";
67100000;1;25/02/2019;01/01/1900 10:35;105;25/02/2019;01/01/1900 08:15;105;320;"1654,166";"3443,678";"250,829";"0,48";"60,1";320;"30,71";;"53,1";
67100000;1;31/10/2018;01/01/1900 10:30;104;31/10/2018;01/01/1900 07:59;104;550;"2248,381";"4051,56";"281,8";"0,555";"40,3";550;"29,8";;"67,8";"Não recebemos a amostra extra que consta no F02-01-01,"
67100000;1;21/05/2018;01/01/1900 10:10;102;21/05/2018;01/01/1900 07:35;102;594;"3610,956";"4384,6";"277,6";"0,824";"47,4";594;"25,1";;"96,5";
67100000;1;20/02/2018;01/01/1900 10:10;101;20/02/2018;01/01/1900 08:04;101;564;"2900,791";"4189,044";"281,55";"0,693";"89,4";564;"28,6";;"79,4";
