Codigo;Nome;Latitude;Longitude;Altitude;AreaDrenagem
66010000;BARRA DO BUGRES;-15,0761;-57,1819;140,00;9250
66070004;CÁCERES (DNPVN);-16,0761;-57,7022;262,00;32400
66090000;DESCALVADOS;-16,7328;-57,7489;99,00;47100
66120000;PORTO CONCEIÇÃO;-17,1433;-57,3594;107,00;64000
66125000;BELA VISTA DO NORTE;-17,6414;-57,6906;87,00;68900
66260001;CUIABÁ;-15,6156;-56,1086;140,30;23500
66260002;CUIABÁ;-15,5825;-56,1342;140,00;22800
66270000;SANTO ANTÔNIO DO LEVERGER;-15,8697;-56,0761;130,00;25300
66340000;PORTO CERCADO (Ex-Retiro Biguaçal);-16,5119;-56,3756;114,00;36900
66460000;ACIMA DO CÓRREGO GRANDE;-16,6081;-55,2064;139,00;23000
66470000;SÃO JOSÉ DO BORIRÉU;-16,9253;-56,2236;160,00;24100
66600000;SÃO JERÔNIMO;-17,2017;-56,0086;112,00;23300
66650000;SÃO JOSÉ DO PIQUIRI;-17,2917;-56,3872;150,00;30000
66710000;POUSADA TAIAMÃ  (Ex-Porto Jofre);-17,3656;-56,7747;109,00;95200
66750000;PORTO DO ALEGRE;-17,6233;-56,9650;91,00;103000
66810000;SÃO FRANCISCO;-18,3939;-57,3911;83,00;243000
66825000;LADÁRIO (BASE NAVAL);-19,0017;-57,5942;82,15;253000
66870000;COXIM;-18,5078;-54,7619;190,00;27600
66900000;ESTRADA MT-738;-20,7619;-56,0911;133,00;11600
66910000;MIRANDA;-20,2408;-56,3992;108,00;15000
66941000;PALMEIRAS;-20,4481;-55,4281;162,00;10900
66945000;AQUIDAUANA;-20,4783;-55,8014;133,00;15700
66960008;PORTO ESPERANÇA;-19,6006;-57,4372;79,66;371000
66970000;FORTE COIMBRA;-19,9203;-57,7917;79,00;372000
67030000;BARRANCO BRANCO;-21,0986;-57,8442;72,00;546000
67100000;PORTO MURTINHO;-21,7003;-57,8911;70,75;576000
