Time;LU
1940;0,193887723347756
1941;0,185875517007937
1942;0,177863310668119
1943;0,169851104328300
1944;0,161838897988481
1945;0,153826691648662
1946;0,145814485308843
1947;0,137802278969024
1948;0,129790072629206
1949;0,121777866289387
1950;0,113765659949568
1951;0,124636362931923
1952;0,135507065914278
1953;0,146377768896633
1954;0,157248471878988
1955;0,168119174861343
1956;0,178989877843698
1957;0,189860580826053
1958;0,200731283808408
1959;0,211601986790763
1960;0,222472689773118
1961;0,248107743365936
1962;0,273742796958753
1963;0,299377850551571
1964;0,325012904144389
1965;0,350647957737206
1966;0,376283011330024
1967;0,401918064922842
1968;0,427553118515660
1969;0,453188172108477
1970;0,478823225701295
1971;0,592259321785946
1972;0,705695417870596
1973;0,819131513955246
1974;0,932567610039896
1975;1,046003706124546
1976;1,221413073900005
1977;1,396822441675465
1978;1,572231809450923
1979;1,747641177226382
1980;1,923050545001839
1981;2,066825644131690
1982;2,210600743261542
1983;2,354375842391393
1984;2,498150941521245
1985;2,641926040651096
1986;2,649406693524521
1987;2,656887346397947
1988;2,664367999271371
1989;2,671848652144796
1990;2,679329305018222
1991;2,686809957891646
1992;2,694290610765072
1993;2,701771263638497
1994;2,709251916511922
1995;2,716732569385348
1996;2,795157001316347
1997;2,873581433247347
1998;2,952005865178346
1999;3,030430297109347
2000;3,108854729040343
2001;3,235359958312881
2002;3,357698988669620
2003;3,472507732939029
2004;3,594974919296819
2005;3,719363725121005
2006;3,844041070405149
2007;3,968598335040121
2008;4,092949512453966
2009;4,218789593950248
2010;4,342535305810618
2011;4,467787968825784
2012;4,592519129779036
2013;4,702758889498668
2014;4,824502400562420
