Time;LU
1940;14,2586672527356
1941;14,6894439207675
1942;15,1202205887994
1943;15,5509972568313
1944;15,9817739248632
1945;16,4125505928951
1946;16,8433272609271
1947;17,2741039289590
1948;17,7048805969909
1949;18,1356572650228
1950;18,0436284236734
1951;18,5092842861312
1952;18,9749401485891
1953;19,4405960110469
1954;19,9062518735048
1955;20,3719077359626
1956;20,8375635984205
1957;21,3032194608783
1958;21,7688753233362
1959;22,2345311857940
1960;22,7001870482519
1961;23,5738090269297
1962;24,4474310056074
1963;25,3210529842852
1964;26,1946749629629
1965;27,0682969416407
1966;27,9419189203184
1967;28,8155408989961
1968;29,6891628776739
1969;30,5627848563516
1970;31,4364068350294
1971;30,8776763117963
1972;30,3189457885632
1973;29,7602152653301
1974;29,2014847420970
1975;28,6427542188639
1976;28,4262287503110
1977;28,2097032817581
1978;27,9931778132052
1979;27,7766523446523
1980;27,5601268760993
1981;26,7444331497892
1982;25,9287394234791
1983;25,1130456971690
1984;24,2973519708588
1985;23,4816582445487
1986;22,8501904189597
1987;22,2187225933707
1988;21,5872547677816
1989;20,9557869421926
1990;20,3243191166036
1991;19,6928512910146
1992;19,0613834654255
1993;18,4299156398365
1994;17,7984478142475
1995;17,1669799886585
1996;17,0009850170105
1997;16,8349900453626
1998;16,6689950737146
1999;16,5030001020666
2000;16,3370051304187
2001;16,1101962075412
2002;15,8807811346792
2003;15,6481151559231
2004;15,4161880244148
2005;15,1855206979790
2006;14,9543139809616
2007;14,7212717507766
2008;14,4902728650027
2009;14,2593219884254
2010;14,0279780554008
2011;13,7956059421761
2012;13,5632486119813
2013;13,3284908144259
2014;13,1051063176211
