Time;LU
1950;0,522805509381331
1951;0,615697163816108
1952;0,708588818250865
1953;0,801480472685627
1954;0,894372127120382
1955;0,987263781555142
1956;1,080155435989898
1957;1,173047090424645
1958;1,265938744859416
1959;1,358830399294185
1960;1,451722053728912
1961;1,608873452621266
1962;1,766024851513605
1963;1,923176250405962
1964;2,080327649298300
1965;2,237479048190655
1966;2,394630447083002
1967;2,551781845975351
1968;2,708933244867693
1969;2,866084643760048
1970;3,023236042652386
1971;3,476721378251150
1972;3,930206713849907
1973;4,383692049448674
1974;4,837177385047443
1975;5,290662126720168
1976;5,954524654860019
1977;6,618386589073840
1978;7,282248523287656
1979;7,946110457501472
1980;8,609971628255909
1981;9,375311036680442
1982;10,140649681645572
1983;10,905988326610705
1984;11,671326971575848
1985;12,436664407713909
1986;13,266280185676232
1987;14,095894754811470
1988;14,925509323946706
1989;15,755123893081949
1990;16,584738462217185
1991;17,414353031352427
1992;18,243967600487665
1993;19,073582169622902
1994;19,903196738758140
1995;20,732811125920666
1996;21,051379100583869
1997;21,369946893274374
1998;21,688514685964869
1999;22,007082478655374
2000;22,325650271345872
2001;22,401156927138786
2002;22,461746951197419
2003;22,505634648955628
2004;22,556593530872401
2005;22,619658586952355
2006;22,674618944167378
2007;22,713253118196814
2008;22,781468731400750
2009;22,808189946130270
2010;22,869730393437024
2011;22,934963868141942
2012;22,977904898556453
2013;23,006319540375642
2014;23,049380990420818
