Time;LU
1940;14,2586672527356
1941;14,6894439207675
1942;15,1202205887994
1943;15,5509972568313
1944;15,9817739248632
1945;16,4125505928951
1946;16,8433272609271
1947;17,2741039289590
1948;17,7048805969909
1949;18,1356572650228
1950;18,5664339330547
1951;19,1249814499473
1952;19,6835289668399
1953;20,2420764837326
1954;20,8006240006252
1955;21,3591715175178
1956;21,9177190344104
1957;22,4762665513030
1958;23,0348140681956
1959;23,5933615850882
1960;24,1519091019808
1961;25,1826824795509
1962;26,2134558571210
1963;27,2442292346911
1964;28,2750026122612
1965;29,3057759898313
1966;30,3365493674014
1967;31,3673227449715
1968;32,3980961225416
1969;33,4288695001117
1970;34,4596428776818
1971;34,3543976900474
1972;34,2491525024131
1973;34,1439073147788
1974;34,0386621271444
1975;33,9334169569934
1976;34,3807534051710
1977;34,8280898708319
1978;35,2754263364928
1979;35,7227628021537
1980;36,1700992137263
1981;36,1197441864696
1982;36,0693891051247
1983;36,0190340237797
1984;35,9686789424347
1985;35,9183230117564
1986;36,1164706046359
1987;36,3146173481821
1988;36,5127640917283
1989;36,7109108352746
1990;36,9090575788208
1991;37,1072043223670
1992;37,3053510659132
1993;37,5034978094594
1994;37,7016445530056
1995;37,8997913450892
1996;38,0523641175944
1997;38,2049369386369
1998;38,3575097596795
1999;38,5100825807220
2000;38,6626554017645
2001;38,5113531346800
2002;38,3425280858766
2003;38,1537498048787
2004;37,9727815552872
2005;37,8051792849313
2006;37,6289329251290
2007;37,4345248689734
2008;37,2717415964035
2009;37,0675119345557
2010;36,8977084488378
2011;36,7305698103181
2012;36,5411535105378
2013;36,3348103548016
2014;36,1544873080419
