Time;LU
1990;1,29146525749320
1991;1,16592198749538
1992;1,12929647864538
1993;1,19579163264025
1994;1,23313588733354
1995;1,23723846803198
1996;1,31317126512276
1997;1,48263090426618
1998;1,76026698310617
1999;1,72492069759778
2000;1,76617169576112
2001;1,71553409167067
2002;1,96739887109895
2003;2,12513089129764
2004;2,49759336075500
2005;2,75299169158892
2006;2,55963625003985
2007;2,35286365355388
2008;2,45399174051720
2009;2,54071466462467
2010;2,65579675299957
2011;2,67262947820382
2012;2,74100474384390
2013;3,00791839481608
2014;3,11547275822426
